iter,Energy,sigma_E,Mx,sigma_Mx,Mz,sigma_Mz,Mz_AFM,sigma_Mz_AFM,Ntot,sigma_Ntot,accept
0,15.968218677752592,0.02239376490807696,0.9996877684905696,3.587921194424414e-05,0.006103515625,0.0013671206560143044,0.00664520263671875,0.001375552102503363,nan,nan,0.9890279769897461
1,15.252351223602252,0.022405862617244546,0.9970966630076904,0.00014285600880797815,0.001621246337890625,0.0013047169034791038,0.007503509521484375,0.001391816674444803,nan,nan,0.9448763529459635
2,14.45428573168363,0.026093271701854617,0.9912198943568977,0.00026124625550166786,0.00321197509765625,0.0012175597290671565,0.0062713623046875,0.0015029094826579977,nan,nan,0.8957783381144205
3,13.535738749020526,0.027736085489507876,0.9800719715585771,0.00040468558209534936,0.00366973876953125,0.001136770134363236,0.00788116455078125,0.0015093353240307388,nan,nan,0.8443377812703451
4,12.504560601027503,0.027944448952843804,0.9630984203725322,0.0005231946441929745,0.00127410888671875,0.0010831464420123246,0.01129150390625,0.0016657586619277648,nan,nan,0.7912000020345052
5,11.488351998631943,0.029964822260722734,0.9420175306820021,0.000673653529680424,0.000675201416015625,0.0009623764542624793,0.011386871337890625,0.001647402605588617,nan,nan,0.7377796173095703
6,10.346661162465349,0.028964893785765448,0.9144995640432659,0.0007586549729684955,0.001007080078125,0.0009025599124127843,0.01215362548828125,0.0018038259679061478,nan,nan,0.6832984288533529
7,9.171384160911648,0.028805801449518387,0.8821913419287806,0.0008635101747668917,0.002521514892578125,0.0008962966998048,0.015232086181640625,0.0018606272600828408,nan,nan,0.6278765996297201
8,7.891709793507291,0.03001227264260752,0.8425788026170375,0.0009719414374762413,0.00269317626953125,0.0007957507156879795,0.0121002197265625,0.0021061291101881576,nan,nan,0.5728998184204102
9,6.510151376382972,0.033861042942550774,0.7968080851783272,0.0012071605748401979,0.002361297607421875,0.0007548151289686784,0.021762847900390625,0.0021508689141503997,nan,nan,0.5177920659383138
10,5.02831855914995,0.0337278384924091,0.7432157458756699,0.0012739392839728717,0.0017547607421875,0.0006805436894476899,0.01567840576171875,0.002665126763895601,nan,nan,0.46258703867594403
11,3.600460878482569,0.03612220394923955,0.6880538295722387,0.0014570567091137165,0.0005950927734375,0.0006305738282787822,0.02066802978515625,0.0028522166581208624,nan,nan,0.4097480773925781
12,1.8596194200806073,0.035949724144472145,0.6159216389832347,0.0015316723160483687,0.00168609619140625,0.0005828431709019764,0.02518463134765625,0.003352162492053682,nan,nan,0.3551607131958008
13,0.15496659967528273,0.03823941236880416,0.5422799907728806,0.0016963596623840512,0.00164031982421875,0.000512262388466007,0.02272796630859375,0.00430470024605766,nan,nan,0.3027960459391276
