iter,Energy,sigma_E,Mx,sigma_Mx,Mz,sigma_Mz,Mz_AFM,sigma_Mz_AFM,Mz_AFM_sq,sigma_Mz_AFM_sq,Ntot,sigma_Ntot,accept
0,-41.762646277801444,0.0062653684379212655,-0.8183938014237462,0.0007859608213478508,-0.0001010894775390625,0.0005888288706723463,-0.0041255950927734375,0.0022127456964807085,nan,nan,nan,nan,0.5487186113993326
1,-41.80778261905152,0.005421295799764131,-0.8124584491759634,0.0007625071750439996,0.00038909912109375,0.0005954738727827466,0.00022125244140625,0.0022678814128594452,nan,nan,nan,nan,0.5412341753641764
2,-41.854538292347385,0.005014158123663757,-0.8054531174852231,0.0007872450733677322,0.001049041748046875,0.0005914047465077713,0.003902435302734375,0.002267307280614453,nan,nan,nan,nan,0.5342143376668295
3,-41.88916357666182,0.004691545699774753,-0.7995637663456298,0.0008160376839880957,0.0003566741943359375,0.0005520339514950741,-5.53131103515625e-05,0.0024230905965043456,nan,nan,nan,nan,0.5279836654663086
4,-41.91323353183379,0.004310673273011023,-0.7952241839425991,0.0008219882700700342,-0.0003299713134765625,0.0005767783945762249,-0.0021877288818359375,0.0023077227405763397,nan,nan,nan,nan,0.5230018297831217
5,-41.93135225111566,0.003958550290676294,-0.7916967164588589,0.0008240216739428973,0.0010204315185546875,0.0005636657878089485,-0.0012989044189453125,0.002338567495679451,nan,nan,nan,nan,0.5178941090901693
6,-41.95267626082754,0.0037230832695278092,-0.7873797089393417,0.0008337666589712391,0.0007076263427734375,0.0005796337093067603,-0.0031948089599609375,0.002379017579322588,nan,nan,nan,nan,0.5134288469950358
7,-41.96481959013386,0.003160591677338552,-0.7841709853562479,0.0007858076006534007,-0.0005645751953125,0.0005656016368914246,0.000843048095703125,0.0023955633902034874,nan,nan,nan,nan,0.5097554524739584
8,-41.984629819347596,0.0031027926337652855,-0.7793663780811261,0.0008402407695109982,-0.0002994537353515625,0.0005879921744681334,0.0029964447021484375,0.0026704397209041885,nan,nan,nan,nan,0.5049104690551758
9,-41.99408900746437,0.003023212282829877,-0.7766433498708629,0.0008549330241350066,0.0004138946533203125,0.0005660007794650989,-0.0001087188720703125,0.0025383798306617905,nan,nan,nan,nan,0.501556396484375
10,-42.00479113342553,0.0028480289707968794,-0.7742823385209361,0.0008740053825842299,-0.000347137451171875,0.0005836589808817549,0.00260162353515625,0.002687945039349735,nan,nan,nan,nan,0.4979406992594401
11,-42.012265933296796,0.0027259416741516078,-0.7720724523571034,0.0008367697912895488,0.0003643035888671875,0.0005901810961951085,-0.0008831024169921875,0.0026129369706859853,nan,nan,nan,nan,0.49547751744588214
12,-42.02619459293309,0.002466869262636644,-0.768492848353753,0.0008132506945483943,-9.34600830078125e-05,0.0005533688479788806,0.0034618377685546875,0.0026186937943880246,nan,nan,nan,nan,0.4920566876729329
13,-42.034483957089215,0.002487802939880572,-0.7665724196830671,0.000910745030782265,-0.0007476806640625,0.0005527622538692995,0.003467559814453125,0.002576570815465147,nan,nan,nan,nan,0.48890256881713867
14,-42.04207190325982,0.0022350578316883947,-0.763297872423119,0.0008367052414312269,0.00054168701171875,0.0005523955247159325,0.000919342041015625,0.002862955230631961,nan,nan,nan,nan,0.4856506983439128
15,-42.049495852486565,0.0022150512378353066,-0.7609563740857557,0.0008753894181252632,0.00028228759765625,0.0005446915470820292,-0.00081634521484375,0.0027301097142303603,nan,nan,nan,nan,0.4835265477498372
16,-42.0548309985469,0.002319449667122605,-0.7587004460870869,0.0008888261585121937,-0.00069427490234375,0.0005221581345774022,-0.00197601318359375,0.002772182601517449,nan,nan,nan,nan,0.4810365041097005
17,-42.05699533400917,0.0020387810534874583,-0.7576727773680447,0.0008942348813317119,0.0010242462158203125,0.0005547263041026342,0.0026226043701171875,0.0028313152184495684,nan,nan,nan,nan,0.4785450299580892
18,-42.06514770367381,0.001985586834023756,-0.756111661668236,0.0009226898402648386,-0.00018310546875,0.0005360226583144498,-0.005321502685546875,0.0027240762787276874,nan,nan,nan,nan,0.47615941365559894
19,-42.06919235655185,0.0019124091926661791,-0.754358956536691,0.000871278157412696,-0.0004425048828125,0.0005663729571298058,0.0009002685546875,0.002791178351692605,nan,nan,nan,nan,0.4740486145019531
20,-42.07296693174619,0.0019802959253814516,-0.7522724702953405,0.0009710887445784677,-0.0011157989501953125,0.0005564903062222777,-0.0021533966064453125,0.0027799797494514797,nan,nan,nan,nan,0.4713527361551921
21,-42.07415265789608,0.0017960088897851208,-0.7521119728706149,0.0008882458407971154,-0.0002689361572265625,0.0005638600340857235,0.0030460357666015625,0.002914213834464388,nan,nan,nan,nan,0.47026793162027997
22,-42.07856514653191,0.0017553764084217581,-0.7498774059318905,0.000905736578318257,0.0005397796630859375,0.0005476003444615534,0.0048160552978515625,0.0027792541086510995,nan,nan,nan,nan,0.46824852625528973
23,-42.08227638819415,0.0016254124529332253,-0.7489568636843524,0.0008862706244335468,0.0009822845458984375,0.0005360802849549344,-0.0009326934814453125,0.0028903538317045082,nan,nan,nan,nan,0.4660520553588867
24,-42.086483828672556,0.0015379382815436087,-0.7475283451495347,0.0009183026632017169,-0.000171661376953125,0.0005431966152575855,0.00467681884765625,0.0028888866472137203,nan,nan,nan,nan,0.46457815170288086
25,-42.0904622299015,0.0015514962605325897,-0.7441947171356912,0.0008779290753060787,0.0001277923583984375,0.000566313080604565,0.0024013519287109375,0.0030327665801690826,nan,nan,nan,nan,0.46211767196655273
