iter,Energy,sigma_E,Mx,sigma_Mx,Mz,sigma_Mz,Mz_AFM,sigma_Mz_AFM,Ntot,sigma_Ntot,accept
0,-37.86527252500343,7.451326760234065e-09,1.381189765187702e-10,6.669940360708218e-12,-0.009765625,0.0027282100388948986,-0.146484375,0.04092315058342348,nan,nan,0.0011847813924153645
1,-37.86527252500343,7.451326760234065e-09,1.381189765187702e-10,6.669940360708218e-12,-0.009765625,0.0027282100388948986,-0.146484375,0.04092315058342348,nan,nan,0.0
2,-37.86527252500343,7.451326760941327e-09,1.3811895319148284e-10,6.669940388697971e-12,-0.009765625,0.0027282100388948986,-0.146484375,0.04092315058342348,nan,nan,0.0
3,-37.865272525003434,7.451326771234096e-09,1.3811892830734892e-10,6.669942823865037e-12,-0.009765625,0.0027282100388948986,-0.146484375,0.04092315058342348,nan,nan,0.0
4,-37.865272525003434,7.451326771234096e-09,1.3811892830734892e-10,6.669942823865037e-12,-0.009765625,0.0027282100388948986,-0.146484375,0.04092315058342348,nan,nan,0.0
5,-37.865272525003434,7.451326771234096e-09,1.3811892830734892e-10,6.669942823865037e-12,-0.009765625,0.0027282100388948986,-0.146484375,0.04092315058342348,nan,nan,0.0
6,-37.865272525003434,7.451326771234096e-09,1.3811892830734892e-10,6.669942823865037e-12,-0.009765625,0.0027282100388948986,-0.146484375,0.04092315058342348,nan,nan,0.0
7,-37.865272525003434,7.451326771234096e-09,1.3811892830734892e-10,6.669942823865037e-12,-0.009765625,0.0027282100388948986,-0.146484375,0.04092315058342348,nan,nan,0.0
8,-37.865272525003434,7.451326771234096e-09,1.3811892830734892e-10,6.669942823865037e-12,-0.009765625,0.0027282100388948986,-0.146484375,0.04092315058342348,nan,nan,0.0
9,-37.865272525003434,7.451326771234096e-09,1.3811892830734892e-10,6.669942823865037e-12,-0.009765625,0.0027282100388948986,-0.146484375,0.04092315058342348,nan,nan,0.0
10,-37.865272525003434,7.451326771234096e-09,1.3811892830734892e-10,6.669942823865037e-12,-0.009765625,0.0027282100388948986,-0.146484375,0.04092315058342348,nan,nan,0.0
11,-37.865272525003434,7.451326771234096e-09,1.3811892830734892e-10,6.669942823865037e-12,-0.009765625,0.0027282100388948986,-0.146484375,0.04092315058342348,nan,nan,0.0
12,-37.865272525003434,7.451326771234096e-09,1.3811892830734892e-10,6.669942823865037e-12,-0.009765625,0.0027282100388948986,-0.146484375,0.04092315058342348,nan,nan,0.0
13,-37.865272525003434,7.451326771234096e-09,1.3811892830734892e-10,6.669942823865037e-12,-0.009765625,0.0027282100388948986,-0.146484375,0.04092315058342348,nan,nan,0.0
14,-37.86527252500342,7.451326650371693e-09,1.3811922806373274e-10,6.669866185670079e-12,-0.009765625,0.0027282100388948986,-0.146484375,0.04092315058342348,nan,nan,0.0
15,-37.86527252500349,7.451326622574194e-09,1.381170220492191e-10,6.6698153612494646e-12,-0.009765625,0.0027282100388948986,-0.146484375,0.04092315058342348,nan,nan,0.0
16,-37.865272525003405,7.451326551440724e-09,1.381197035213255e-10,6.669768495345991e-12,-0.009765625,0.0027282100388948986,-0.146484375,0.04092315058342348,nan,nan,0.0
17,-37.86527252500335,7.45132704536033e-09,1.3812173541148793e-10,6.6700063949037396e-12,-0.009765625,0.0027282100388948986,-0.146484375,0.04092315058342348,nan,nan,0.0
18,-37.86527252500347,7.451326644404402e-09,1.381176511321187e-10,6.669740708871818e-12,-0.009765625,0.0027282100388948986,-0.146484375,0.04092315058342348,nan,nan,0.0
19,-37.86527252500347,7.451326644404402e-09,1.381176511321187e-10,6.669740708871818e-12,-0.009765625,0.0027282100388948986,-0.146484375,0.04092315058342348,nan,nan,0.0
20,-37.86527252500352,7.451326537387214e-09,1.3811597573239512e-10,6.669733574492301e-12,-0.009765625,0.0027282100388948986,-0.146484375,0.04092315058342348,nan,nan,0.0
21,-37.86527252500352,7.451326537387214e-09,1.3811597573239512e-10,6.669733574492301e-12,-0.009765625,0.0027282100388948986,-0.146484375,0.04092315058342348,nan,nan,0.0
22,-37.86527252500352,7.451326537387214e-09,1.3811597573239512e-10,6.669733574492301e-12,-0.009765625,0.0027282100388948986,-0.146484375,0.04092315058342348,nan,nan,0.0
23,-37.86527252500352,7.451326537387214e-09,1.3811597573239512e-10,6.669733574492301e-12,-0.009765625,0.0027282100388948986,-0.146484375,0.04092315058342348,nan,nan,0.0
24,-37.86527252500352,7.451326537387214e-09,1.3811597573239512e-10,6.669733574492301e-12,-0.009765625,0.0027282100388948986,-0.146484375,0.04092315058342348,nan,nan,0.0
25,-37.86527252500352,7.451326537387214e-09,1.3811597573239512e-10,6.669733574492301e-12,-0.009765625,0.0027282100388948986,-0.146484375,0.04092315058342348,nan,nan,0.0
26,-37.86527252500352,7.451326537387214e-09,1.3811597573239512e-10,6.669733574492301e-12,-0.009765625,0.0027282100388948986,-0.146484375,0.04092315058342348,nan,nan,0.0
27,-37.86527252500352,7.451326535040026e-09,1.3811595066021988e-10,6.669731596945825e-12,-0.009765625,0.0027282100388948986,-0.146484375,0.04092315058342348,nan,nan,0.0
28,-37.86527252500354,7.451326299658366e-09,1.381154797702523e-10,6.669560133272481e-12,-0.009765625,0.0027282100388948986,-0.146484375,0.04092315058342348,nan,nan,0.0
29,-37.865272525003554,7.451326164059925e-09,1.3811504583463815e-10,6.669532323234573e-12,-0.009765625,0.0027282100388948986,-0.146484375,0.04092315058342348,nan,nan,0.0
30,-37.86527252500338,7.451326379332244e-09,1.3812045750039783e-10,6.669507040465987e-12,-0.009765625,0.0027282100388948986,-0.146484375,0.04092315058342348,nan,nan,0.0
31,-37.86527252500334,7.451326655616168e-09,1.3812160917901484e-10,6.66966216585432e-12,-0.009765625,0.0027282100388948986,-0.146484375,0.04092315058342348,nan,nan,0.0
